,Bug_No,Topics,Text
10,10,"6 0.24607203287406332, 2 0.2077189589879945, 4 0.1648537587623882, 3 0.11747643219724434, 0 0.11183627427282247, 5 0.09153170574490369, 1 0.06051083716058332","tostringbuilder.reflectiontostring() enters an infinite loop when used with the following example://///////////////////////////public class outer { inner inner = new inner(); class inner { public string tostring() { return tostringbuilder.reflectiontostring(this); } } public string tostring() { return tostringbuilder.reflectiontostring(this); } public static void main(string[] args) { outer outer = new outer(); system.out.println(outer); }}/////////////////////////////the reason is that the two classes refer to each other via the explicit field inner and the implicit field outer.this. the bug can be resolved by skipping the implicit fields. is there any good reason for printing those anyway?i am not sure what is the best way to detect if a field is an implicit field. but i patched the code myself in a way that seemed to work://///////////////////////////public static string reflectiontostring(object object, tostringstyle style, boolean outputtransients) { if (object == null) { throw new illegalargumentexception(""the object must not be null""); } if (style == null) { style = getdefaultstyle(); } field[] fields = object.getclass().getdeclaredfields(); field.setaccessible(fields, true); tostringbuilder builder = new tostringbuilder(object, style); for (int i = 0; i < fields.length; ++i) { field f = fields[i]; if (!f.getname().startswith(""this$"")) { if (outputtransients || !modifier.istransient(f.getmodifiers())) { if (!modifier.isstatic(f.getmodifiers())) { try { builder.append(f.getname(), f.get(object)); } catch (illegalaccessexception ex) { //this cant happen. would get a security exception instead //throw a runtime exception in case the impossible happens. throw new internalerror(""unexpected illegalaccessexception""); } } } } } return builder.tostring();}/////////////////////////////notice the extra if statement that tests for field names starting with ""this$"". i dont know if this is guaranteed to work always, though. "
11,11,"0 0.17972350230414744, 3 0.17255504352278545, 4 0.1474654377880184, 2 0.14567332309267791, 6 0.12416794674859194, 1 0.11520737327188943, 5 0.11520737327188943","low characters such as #18 are not escaped, and therefore are mixed together with other characteres as if there were normal characteres such as \a\, \1\ etc.possibly solved in other versions? "
12,12,"0 0.377005123036869, 2 0.2076929537246998, 1 0.09893340052070211, 6 0.09893340052070211, 3 0.09599395313681028, 4 0.06718736877467037, 5 0.054253800285546314","im assuming that the goal of the truncate() method inorg.apache.commons.lang.time.dateutils is to be a shorthand for the otherwisecumbersome java.util.calendar operations of setting all lower fields to 0.in other words, the following 2 methods are (by me) expected to yield the same: private date commonstruncate(date date) { return dateutils.truncate(date, calendar.date); } private date truncate(date date) { calendar c = calendar.getinstance(); c.settime(date); c.set(calendar.hour_of_day, 0); c.set(calendar.minute, 0); c.set(calendar.second, 0); c.set(calendar.millisecond, 0); return c.gettime(); }this is generally the case, except for the very pathological case of theultimate biggest date java allows you to make: date endoftime = new date(long.max_value); // fyi: sun aug 17 07:12:55 cet 292278994 -- 807 milliscommons-result: sun aug 17 02:00:00 cest 292278994 // commonstruncate(endoftime)handmade-result: sun aug 17 00:00:00 cest 292278994 // truncate(endoftime)(mind the 2h difference)another odd observation concerning this special date is that the commons-resultwill match the other one if we allow the commons truncate to operate on theresult again:commons-double-truncate-result: sun aug 17 00:00:00 cest 292278994 // truncate(truncate(endoftime))(which is somewhat another surprise: one would expect truncation not to change adate that was already truncated)my (totally wild) guess is that this is related to timezone and dst issuesfact being that similar effects are seen on all dates pointing to a moment inthe last 2hours of the date spectrum.i understand that this is a very hypothetical issue, nevertheless.kind regards,-marc= "
13,13,"0 0.20935960591133002, 2 0.17296113847837982, 1 0.12506841817186645, 3 0.12315270935960593, 4 0.12315270935960593, 5 0.12315270935960593, 6 0.12315270935960593","add systemutils.awt_toolkit, which is useful to detect whether or not the jre isrunning on a headless platform. "
14,14,"0 0.23395445134575574, 3 0.17598343685300208, 4 0.14699792960662525, 2 0.11801242236024843, 5 0.11801242236024843, 1 0.10351966873706007, 6 0.10351966873706007","there\s an error in the javadoc for the stringutils.chomp(string, string)method. one of the examples says:stringutils.chomp(""foo "", ""foo"") = ""foo""this should be:stringutils.chomp(""foo "", ""foo"") = ""foo "" "
15,15,"3 0.2530588624338625, 2 0.1789847883597884, 0 0.1575727513227513, 4 0.14773478835978834, 6 0.11127645502645503, 5 0.08928571428571429, 1 0.0620866402116402","equals considers self equal to any object that has an accessible public getname() method which returns a string that is the same than the internal name iname. so if you compare two objects of subclasses of enum that are not related otherwise, but incidentally have the same name iname the equals method returns true. but even worse, its also possible to compare a subclass of enum to an object of a totally unrelated class and to consider the objects equal if the totally unrelated class provides a getname method that returns a string equal to iname. if the getname method of the other object isnt accessible, an illegalaccessexception is thrown and caught in the equals method and false is returned which in this case seems to be correct.the root of the problem is the use of reflection without checking first whether the names of the classes (via other.getclass().getname().equals(this.getclass().getname())) are the same (not the classes themselves, this is tested by the equals method) before invoking the getname method on the other object via reflection. if the names of the classes arent equal, false can be returned immediately instead of using reflection. only if the classnames are equal reflection should be used to determine equality.note: the old implementation of enums.equals in the commons-lang 2.0 distribution seems to work ok in the first case with both objects being subclasses of enum. in the second case of the totally unrelated class, a classcastexception is thrown, but according to joshua bloch (effective java) and the sdk-api-documentation for object.equals this violates the contract for equals because equals is supposed to deliver true or false for any two non null references. "
16,16,"0 0.20264874866101865, 4 0.19037881001071186, 1 0.15561398383484273, 6 0.13857240237608337, 3 0.11198753530041874, 2 0.10585256597526536, 5 0.09494595384165937","this stems from a discussion on commons-user.the basic idea is that tostringstyle could be customized to include an optionaljava.text dataformat object. if the attched patch were in (mod some formattingand unit tests which i can do), user could write code like this:import java.lang.reflect.field;import java.text.simpledateformat;import java.util.date;import org.apache.commons.lang.builder.reflectiontostringbuilder;import org.apache.commons.lang.builder.tostringstyle;public class testrtsb { static class mytostringstyle extends tostringstyle { mytostringstyle() { this.setdateformat(new simpledateformat(""yyyy-mm-dd"")); } } public static void main(string[] arguments) { system.out.println(new testrtsb()); } private int foo = 22; private date mydate = new date(); public string tostring() { return new reflectiontostringbuilder(this, newmytostringstyle()).tostring(); }// use tostringstyle.setdateformat instead of://// public string tostring0() {// return (new reflectiontostringbuilder(this) {// protected object getvalue(field field) throwsillegalargumentexception, illegalaccessexception {// object value = super.getvalue(field);// if (""mydate"".equals(field.getname())) {// return new simpledateformat(""yyyy-mm-dd"").format(value);// } else {// return value;// }// }// }).tostring();// }}any thoughts? "
17,17,"0 0.2500543596434008, 4 0.16481843879104155, 3 0.13894324853228962, 2 0.12524461839530332, 6 0.12524461839530332, 1 0.09784735812133076, 5 0.09784735812133076","the first statement in validate.nonullemelents(object[], string) is validate.notnull(array). this should be validate.notnull(array, message). because of this, the message is not used when the array is null itself. this also applies to validate.nonullemelents(collection, string) "
18,18,"0 0.16099773242630386, 2 0.15570672713529854, 3 0.14512471655328796, 4 0.14512471655328796, 6 0.14512471655328796, 1 0.1345427059712774, 5 0.11337868480725626",according to the javadoc the various methods in the fraction class such as add()throw an illegalargumentexception when null is passed to them. this is veryunusual. they should throw a nullpointerexception instead 
19,19,"4 0.16931216931216925, 0 0.15079365079365076, 6 0.14256319811875368, 5 0.1405055849500294, 1 0.1322751322751323, 2 0.1322751322751323, 3 0.1322751322751323",the stringutils.chomp function doesn\t work.thanks 
20,20,"4 0.28583829365079366, 2 0.1764632936507936, 6 0.15042162698412695, 0 0.14868551587301584, 3 0.11743551587301584, 1 0.06448412698412696, 5 0.056671626984126984","the nestabledelegate dumps the stacktrace bottomup instead of topdown as is the custom in the jdk (especially in jdk 1.4s own chained exceptions).thus when using nestableexception you will always see the first low-level exception (e.g. an null exception) and youll have to go all the way to the bottom to see the highlevel exception (e.g. an hibernatequeryexception: error while parsing query at s.count())this is not very friendly to users because hopefully the highlevel exception will be the best explanation in 9 out of 10 causes, it is only when debugging or in misbehaved exception handling one like to see the root causes - and then one can go down and read the bottom of the stack trace.thus, i would suggest that you make it possible to have nestabledelegate print the stacktrace in reverce so the highlevel exception get printed first and then the lower-levels.and optimal one could set an nestabledelegate.printstacktracetopdown=true as an system property so one could choose which strategy should be activated in the system. am i making any sense ? :) "
21,21,"0 0.19585253456221194, 6 0.16538658474142343, 1 0.1474654377880184, 2 0.13133640552995388, 3 0.1295442908346134, 4 0.11520737327188942, 5 0.11520737327188942",default size of enum\s hashmap needs improvement.http://marc.theaimsgroup.com/?l=jakarta-commons-dev&m=104316379302781&w=2 
22,22,"3 0.2096474953617811, 1 0.1966604823747681, 0 0.17068645640074212, 4 0.11873840445269015, 2 0.10575139146567716, 6 0.10575139146567716, 5 0.09276437847866421","there is a small typo in the documentation at the url: http://jakarta.apache.org/commons/lang/api/org/apache/commons/lang/systemutils.htmlthe description for the static boolean is_java_1_5 is ""true iff this is javaversion 1.3."". i presume the version number really should be ""1.5"" rather than""1.3"" "
23,23,"2 0.23346560846560846, 3 0.15630511463844793, 0 0.15476190476190474, 4 0.13007054673721338, 6 0.12389770723104053, 1 0.10074955908289243, 5 0.10074955908289243","try to truncate 2004-10-31 01:00:00 mdt by hour and youll actually get 2004-10-31 01:00:00 mst, which is one hour after the input hour. // truncate 2004-10-31 01:00:00 mdt date oct31_01mdt = new date(1099206000000l); date result = dateutils.truncate(oct31_01mdt, calendar.hour_of_day); assertequals(oct31_01mdt, result); "
24,24,"4 0.24595893403232852, 0 0.16950633464394932, 3 0.16644823066841416, 2 0.15625455074996358, 6 0.11140235910878112, 1 0.07572447939420414, 5 0.07470511140235908","add the following to equalsbuildertest: public void testsubclassing() { testobject to2 = new testobject(5); testobject to1ter = new testsubobject(4, 10); testobject to1bis = new testsubobject(4, 10); testobject to1 = new testobject(4); testreflectionequalsequivalencerelationship(to1, to1bis, to1ter, to2,new testobject(), false); }as you can see, the whole concept behind appendsuperand such produces equals methods which are not symmetricand thus do not fulfill the equals contract.the two general solutions im aware of are: (1) make the equalsmethod final, so that subclasses are required to alluse the same equals method as each other and the superclass,or (2) use foo.getclass() == bar.getclass() insteadof instanceof, so that an instance of the superclass isnever equals to an instance of a subclass.in particular situations there might be specific solutions (look atthe way equals is defined for list and set for example). "
25,25,"3 0.19235942964756522, 6 0.1669357008340059, 2 0.15469464622006993, 4 0.15375302663438253, 0 0.130212536992198, 5 0.10384718859295128, 1 0.09819747107882698","i propose the following new interface characterencodingnames. ive stored aproposal in cvs to ""record"" it. even if we nuke it, it will be in the ""attic"".in short:/** * character encoding names required of every implementation of the java platform. * * according to the java documentation <a *href=""http://java.sun.com/j2se/1.3/docs/api/java/lang/package-summary.html#charenc"">jrecharacter encoding names</a>: * <p> * <cite>every implementation of the java platform is required to support thefollowing character encodings. consult the * release documentation for your implementation to see if any other encodingsare supported. </cite> * </p> * * @see <ahref=""http://java.sun.com/j2se/1.3/docs/api/java/lang/package-summary.html#charenc"">jrecharacter encoding * names </a> * @author apache software foundation * @since 2.1 */ "
26,26,"2 0.23136507936507933, 3 0.20558730158730157, 4 0.13625396825396824, 0 0.13003174603174603, 6 0.106031746031746, 1 0.09714285714285711, 5 0.09358730158730157","comparetobuilder does not seem to handle nulls well at all.in the methods:public comparetobuilder append(object lhs, object rhs)public comparetobuilder append(object[] lhs, object[] rhs)if either the lhs or rhs parameters are null, the code is set up to throw a nullpointerexception instead of evaulating on the basis of null. this requires that all object be vetted before they be placed in a sorting collection, not using the comparetobuilder class, modifying the source code, or subclassing comparetobuilder. we worked around this by subclassing comparetobuilder and overriding the methods in question.the following lines of code (in both methods) are the cause of the exception: if (comparison != 0) { return this; } if (lhs == rhs) { return this; } if (lhs == null || rhs == null) { throw new nullpointerexception(); }the if statement should be replaced with (?) : if (lhs == null && rhs != null) { comparison = -1; return this; } if (lhs != null && rhs == null) { comparison = 1; return this; } "
27,27,"3 0.1991341991341991, 0 0.18398268398268394, 4 0.14357864357864356, 6 0.13684463684463682, 1 0.12000962000962001, 2 0.10822510822510824, 5 0.10822510822510824","summary saids it all :)it means that server side exceptions cannot be transfered/serialized to clients, which is a must have to inform users on errors and be able to do a decent bughunt :) "
28,28,"0 0.20445392087183129, 2 0.1812366737739872, 3 0.16465292584695568, 6 0.12153518123667374, 5 0.1149016820658612, 1 0.10660980810234542, 4 0.10660980810234542","when dateutils.parsecvs parses a time in ""h:mm z"" format, the resulting date is1/1/1970. is this appropriate, or would it be more appropriate for the resultingdate to be the current system date?i don\t know what the cvs behavior is. "
29,29,"3 0.2896517780238711, 4 0.14322628276116647, 2 0.12772240679217423, 6 0.12255444813584347, 1 0.11307985726590376, 0 0.10705057216685121, 5 0.0967146548541897","hashcodebuilder class failed to generate unique hashcode for objects.here are codes to reproduce the problem:import org.apache.commons.lang.builder.hashcodebuilder;public class person{ public int id; public string name; public person(int id, string name) { this.id=id; this.name = name; } public int hashcode() { return new hashcodebuilder(17,37). append(id). append(name). tohashcode(); }}package com.ball.edi.prototype;public class testhashcode{ static public void main(string args[]) { person p1=new person(214686, ""03065""); person p2=new person(214691, ""03006""); system.out.println(""the hashcode for p1 is "" + p1.hashcode()); system.out.println(""the hashcode for p2 is "" + p2.hashcode()); }}when you ran testhashcode class, you will get the hashcode for p1 is 53862859the hashcode for p2 is 53862859i found this problem when i am using ojb.thanks. "
30,30,"2 0.16326530612244894, 6 0.155328798185941, 1 0.14937641723356007, 4 0.1473922902494331, 0 0.12953514739229027, 3 0.1275510204081633, 5 0.1275510204081633",added class hierachy support to hashcodebuilder.reflectionhashcode() with the following patches. 
31,31,"1 0.19827664399092973, 2 0.18938775510204084, 6 0.18811791383219958, 0 0.14621315192743764, 3 0.12208616780045352, 5 0.08081632653061223, 4 0.07510204081632652","the time unit tests fail when run on a sunday:test.time: [echo] running time package tests ... [java] ...f.f................ [java] time: 4.394 [java] there were 2 failures: [java] 1)testparse(org.apache.commons.lang.time.calendarutilstest)junit.framework.assertionfailederror:parse last sunday expected sun apr 27 06:39:17 mst 2003 but got sun apr 2006:39:17 mst 2003 [java] atorg.apache.commons.lang.time.calendarutilstest.assertequals(calendarutilstest.java:373) [java] atorg.apache.commons.lang.time.calendarutilstest.testparse(calendarutilstest.java:243) [java] at sun.reflect.nativemethodaccessorimpl.invoke0(native method) [java] atsun.reflect.nativemethodaccessorimpl.invoke(nativemethodaccessorimpl.java:39) [java] atsun.reflect.delegatingmethodaccessorimpl.invoke(delegatingmethodaccessorimpl.java:25) [java] 2)testweekiterator(org.apache.commons.lang.time.calendarutilstest)junit.framework.assertionfailederror: expected mon apr 28 00:00:00 mst 2003 but got mon apr 21 00:00:00 mst 2003 [java] atorg.apache.commons.lang.time.calendarutilstest.assertequals(calendarutilstest.java:373) [java] atorg.apache.commons.lang.time.calendarutilstest.assertweekiterator(calendarutilstest.java:346) [java] atorg.apache.commons.lang.time.calendarutilstest.assertweekiterator(calendarutilstest.java:324) [java] atorg.apache.commons.lang.time.calendarutilstest.testweekiterator(calendarutilstest.java:284) [java] at sun.reflect.nativemethodaccessorimpl.invoke0(native method) [java] atsun.reflect.nativemethodaccessorimpl.invoke(nativemethodaccessorimpl.java:39) [java] atsun.reflect.delegatingmethodaccessorimpl.invoke(delegatingmethodaccessorimpl.java:25)looks to me like the unit test code is checking the value of calendar.date, whenit should be looking at calendar.day_of_week (at line 237 and below) to decidewhether to make adjustments for today==sunday.when i fix this, testparse succeeds but testweekiterator hangs at the statementit = calendarutils.getcalendariterator(now, calendarutils.range_week_relative); "
32,32,"0 0.22085385878489328, 5 0.1461412151067323, 6 0.1403940886699507, 1 0.12315270935960594, 2 0.12315270935960594, 3 0.12315270935960594, 4 0.12315270935960594","fastdatefromat.getinstance(""dd.mm.yyyy"").format(date) returns ""01.01.01000"",when date is 1 januar 1000 (01.01.1000) "
33,33,"0 0.25452716297786726, 2 0.21305611446456518, 3 0.16454281243013638, 1 0.11994187346300023, 4 0.11915940084954169, 5 0.07142857142857142, 6 0.05734406438631789"," hello,in org.apache.commons.lang.stringutils, we can find stringutils.equals(?,?). org.apache.commons.lang.time.dateutils should have the same. like this : /** * <p>compares two dates, returning <code>true</code> if they are equal.</p> * * <p><code>null</code>s are handled without exceptions. two <code>null</code> * references are considered to be equal.</p> * * <pre> * dateutils.equals(null, null) = true * dateutils.equals(null, ""abc"") = false * dateutils.equals(""abc"", null) = false * dateutils.equals(""abc"", ""abc"") = true * dateutils.equals(""abc"", ""abc"") = false * </pre> * * @see java.util.date#equals(object) * @param dt1 the first date, may be null * @param dt2 the second date, may be null * @return <code>true</code> if the dates are equal or both <code>null</code> */ public static boolean equals(date dt1, date dt2) { return (dt1 == null ? dt2 == null : dt1.equals(dt2)); } "
34,34,"0 0.1718596903782089, 1 0.1595140113658632, 2 0.15814226925338035, 4 0.15539878502841464, 6 0.12522045855379188, 3 0.11699000587889476, 5 0.1128747795414462","classes that are located in org.apache.commons.lang.enum package cant be used with 1.5 jdk (aka the 5.0) because the ""enum"" is a reserved keyword. compiler error looks like this: ""as of release 1.5, enum is a keyword, and may not be used as an identifier (try -source 1.4 or lower to use enum as an identifier)""there probably should be a separate jar for 1.5+ jdk "
35,35,"6 0.2518693427784337, 0 0.25095106913288734, 4 0.12055621146530239, 2 0.10310901219992129, 1 0.09851764397218943, 3 0.09208972845336481, 5 0.08290699199790108","the min() method of numberutils returns the wrong result if the first value of the array happens to be float.nan. the following code snippet shows the behaviour: float a[] = new float[] {(float) 1.2, float.nan, (float) 3.7, (float) 27.0, (float) 42.0, float.nan}; float b[] = new float[] {float.nan, (float) 1.2, float.nan, (float) 3.7, (float) 27.0, (float) 42.0, float.nan}; float min = numberutils.min(a); system.out.println(""min(a): "" + min); // output: 1.2 min = numberutils.min(b); system.out.println(""min(b): "" + min); // output: nanthis problem may exist for double-arrays as well. proposal: use float.compare(float, float) or numberutils.compare(float, float) to achieve a consistent result. "
36,36,"4 0.17972350230414746, 2 0.16180235535074244, 3 0.14746543778801843, 6 0.13312852022529442, 0 0.1313364055299539, 5 0.1313364055299539, 1 0.11520737327188944","stringutils.isnumeric.if we put empty string as parameter we got true.stringutils.isnumeric("""") return true. "
37,37,"2 0.23775017253278127, 1 0.1902461467678859, 3 0.14596273291925466, 6 0.14596273291925466, 4 0.09684840119622727, 0 0.09523809523809522, 5 0.08799171842650103","the hashcode() methods of the range classes look very suspicious to me. the value is lazily initialized, but the calculation is done _on the cached value. with some unlucky timing a caller may get an incomplete hash.an unlucky sequence of code could be something liket1: if (hashcode == 0) // truet1: hashcode = 17;t2: if (hashcode == 0) // now false because hashcode was already set to 17t2: return hashcode; // return 17t1: hashcode = 37 * hashcode...........where t1 and t2 are different threads accessing the method in parallel and t2 gets the wrong hash ""17"".affected classes areorg.apache.commons.lang.math.doublerangeorg.apache.commons.lang.math.floatrangeorg.apache.commons.lang.math.intrangeorg.apache.commons.lang.math.longrangeorg.apache.commons.lang.math.numberrangeorg.apache.commons.lang.math.rangepossible fix: calculate the hash on a temporary variable and finally assign it to the member "
38,38,"2 0.2434386295772435, 0 0.20273455917020278, 4 0.14002828854314003, 5 0.11692597831211693, 6 0.10922520823510923, 3 0.10152443815810153, 1 0.08612289800408612","arrayutils.add(t[] array, t element) can create an unexpected classcastexception.for example, the following code compiles without a warning:{code}string[] sa = arrayutils.add(stringarray, astring);{code}and works fine, provided at least one of the parameters is non-null. however, if both parameters are null, the add() method returns an object[] array, hence the exception.if both parameters are null, its not possible to determine the correct array type to return, so it seems to me this should be disallowed.i think the method ought to be changed to throw illegalparameterexception when both parameters are null. "
39,39,"4 0.24394841269841278, 3 0.16200396825396826, 0 0.15714285714285714, 2 0.13769841269841274, 6 0.12172619047619049, 1 0.11825396825396826, 5 0.05922619047619047","see http://svn.apache.org/viewvc/commons/proper/lang/trunk/src/java/org/apache/commons/lang3/builder/hashcodebuilder.java?view=markupplease review the implementation for *reflectionappend* (lines 174 to 202)... specifically, see line 182:{code}list<string> excludedfieldlist = excludefields != null ? arrays.aslist(excludefields) : collections.<string>emptylist();{code}note that if you are in the habit of passing in a string array for excluding fields ({{string[] excludefields}}) -- which is a best practice when using hibernate (to skip primary keys ({{@id}}) and version fields ({{@version}}) that change upon persistence) -- _every time_ the _hashcode_ is calculated, an _arraylist_ is being created -- generating fodder for the garbage collector.i thought i might get around this by passing a {{collection<string>}} instead of a {{string[]}}, but ironically the implementation of the {{reflectionhashcode(object object, collection<string> excludefields)}} (see lines 475 to 477), for example, transforms the {{collection<string>}} into a {{string[]}} only to have it transformed internally into a temporary {{arraylist<string>}}.i would expect the implementation to use and read what is submitted, whether that is a {{string[]}} or a {{collection<string>}}. i dont think it needs to create another copy just to have a convenient {{contains}} method. efficiency is important, especially in the event of rehashing. "
40,40,"0 0.17875841436050863, 4 0.17235934513421428, 1 0.16654200947394665, 5 0.13803706473863542, 2 0.1368735976065819, 3 0.12989279481426078, 6 0.0775367738718524","the following program show a problem with a shortcoming of the java.util.properties class. the default properties are not substituted by the strsubstitutor.{code:title=strsubsttest.java|borderstyle=solid}import org.apache.commons.lang.text.strsubstitutor;public class strsubsttest{ public static void main(string[] args) { string org = ""${doesnotwork}""; system.setproperty(""doesnotwork"", ""it works!""); // create a new poperties object with the system.getproperties as default properties props = new properties(system.getproperties()); string subst = strsubstitutor.replace(org, props); // is ${doesnotwork} substituted? system.out.println(subst); }}{code} the following method could be added to the strsubstitutor class to fix this problem in an easy way:{code:borderstyle=solid} /** * replaces all the occurrences of variables in the given source object with their matching * values from the properties. * * @param source the source text containing the variables to substitute, null returns null * @param properties the properties with values, may be null * @return the result of the replace operation */ public static string replace(object source, properties valueproperties) { if (valueproperties == null) { return source; } map valuemap = new hashmap(); enumeration propnames = valueproperties.propertynames(); while (propnames.hasmoreelements()) { string propname = (string)propnames.nextelement(); string propvalue = valueproperties.getproperty(propname); valuemap.put(propname, propvalue); } return strsubstitutor.replace(source, valuemap); }{code} "
