,Document_No,Topics,Text
26,26,"6 0.2752715121136174, 5 0.22702589807852966, 3 0.11591478696741851, 2 0.09690893901420218, 0 0.09544695071010861, 1 0.09544695071010861, 4 0.09398496240601505","make sure lines in files dont have trailing white spaces and remove all trailing white spaces fastdateformats ""z"" pattern does not respect timezone of calendar instances passed to format()applying chas hontons implementation of dateparser and subsequent integration into fastdateformat and the time package. see . "
27,27,"4 0.2523809523809524, 2 0.15238095238095234, 0 0.11904761904761907, 1 0.11904761904761907, 3 0.11904761904761907, 5 0.11904761904761907, 6 0.11904761904761907",: avoid string allocation in strbuilder.append(charsequence). this fixes from github. thanks to mikhail mazurskiy and fabian lange.
28,28,"4 0.17582417582417575, 0 0.13736263736263737, 1 0.13736263736263737, 2 0.13736263736263737, 3 0.13736263736263737, 5 0.13736263736263737, 6 0.13736263736263737",sort members.
29,29,"2 0.24535916061339785, 6 0.13613128867366148, 4 0.13236481033091202, 3 0.1229486144740382, 0 0.12106537530266342, 1 0.12106537530266342, 5 0.12106537530266342",make sure placement of curly braces is consistent[] introduce const() methods to prevent javac from inlining constants
30,30,"5 0.2956349206349207, 6 0.12723214285714282, 2 0.12549603174603172, 1 0.1150793650793651, 0 0.11334325396825398, 3 0.11160714285714288, 4 0.11160714285714288",refactoring fastdateformat per to use the formatcache class created for an upcoming dateparser functionality. ive kept formatcache package-private for now. checkstyle and trailing spaces.
31,31,"3 0.3487325278370054, 4 0.11158493248045488, 2 0.10992655768775172, 1 0.10826818289504858, 6 0.10826818289504858, 0 0.10660980810234542, 5 0.10660980810234542","refactor fastdateparseruse hashmap for performance break down regular expressions to per-format, allowingparseposition to get set add parse with calendar input, allowing client to set leniencyand/or replace display names"
32,32,"6 0.2957164601000217, 2 0.19373776908023482, 5 0.1145901282887584, 3 0.10241356816699282, 0 0.09784735812133075, 1 0.09784735812133075, 4 0.09784735812133075",make whitespace use after tokens consistent and add a checkstyle rule to enforce it.: fastdateformat support of the week-year component (uppercase y)revert while investigating travis failures: fastdateformat support of the week-year component (uppercase y)
33,33,"5 0.15363881401617246, 6 0.15363881401617246, 2 0.14734950584007186, 1 0.14106019766397127, 0 0.1347708894878706, 3 0.1347708894878706, 4 0.1347708894878706",checkstyle and trailing spaces.
34,34,"6 0.2801587301587301, 2 0.1246031746031746, 0 0.11904761904761905, 1 0.11904761904761905, 3 0.11904761904761905, 4 0.11904761904761905, 5 0.11904761904761905",make sure lines in files dont have trailing white spaces and remove all trailing white spaces
35,35,"2 0.23072562358276635, 1 0.12953514739229025, 4 0.12953514739229025, 0 0.12755102040816327, 3 0.12755102040816327, 5 0.12755102040816327, 6 0.12755102040816327",crlf -> lfjavadoc: fix typo but working is still awkward.
36,36,"3 0.23809523809523814, 2 0.1663003663003663, 4 0.13724053724053722, 0 0.12356532356532356, 1 0.11501831501831504, 5 0.10989010989010992, 6 0.10989010989010992",: strbuilderreplaceall arrayindexoutofboundsexception ()avoid arrayindexoutofboundsexception by keeping variable buf consistent with buffer in strbuilderreplaceimpl.add final modifier to local variables.add final modifier to method parameters.
37,37,"2 0.23185011709601872, 3 0.1772053083528493, 4 0.12073900598490767, 1 0.11891751236013536, 0 0.11709601873536302, 5 0.11709601873536302, 6 0.11709601873536302",crlf -> lfjavadoc: fix typo but working is still awkward.add final modifier to local variables.
38,38,"4 0.18062397372742195, 0 0.17296113847837982, 3 0.13656267104542963, 5 0.13464696223316908, 6 0.1288998357963875, 1 0.12315270935960593, 2 0.12315270935960593","[] create strbuilder apis similar to string.format(string, object...)"
39,39,"0 0.19137466307277626, 1 0.13477088948787064, 2 0.13477088948787064, 3 0.13477088948787064, 4 0.13477088948787064, 5 0.13477088948787064, 6 0.13477088948787064",: rounding utilities for converting to bigdecimal
40,40,"1 0.7153907976692785, 2 0.05083383564396221, 5 0.04872413100261202, 4 0.048724131002612005, 3 0.045911191480811735, 0 0.045207956600361664, 6 0.045207956600361664",: add a circuit breaker implementation ()squashed commit of the following:commit 1b12db706b457408562a166c21bc6470a8064620merge: edebd97 def7832author: oliver heger <oliver.heger@oliver-heger.de>date: wed jun 10 21:27:17 2015 +0200 merge pull request from kinow/patch1 this commit:commit def78320c5efcb734572c5b48623a952e3c94c75author: bruno p. kinoshita <brunodepaulak@yahoo.com.br>date: wed jun 10 22:57:33 2015 +1200 this commit: * fixes javadocs warnings in checkstyle * adds license headers * renames the memorycircuitbreaker to thresholdcircuitbreaker * adds more tests to have a good coveragecommit edebd970582ce2984258352c8482bcb51587f7d2author: oheger <oliver.heger@oliver-heger.de>date: tue jun 9 22:11:11 2015 +0200 documentation updates for eventcountcircuitbreaker.commit 3d8a4ff85a78173dd8f5437d9b4d931069128e20author: oheger <oliver.heger@oliver-heger.de>date: tue jun 9 21:55:02 2015 +0200 renamed timedcircuitbreaker to eventcountcircuitbreaker. this name seems to be more appropriate as the main property of this circuit breaker implementation is that it counts specific events and changes its state when a certain threshold is reached.commit 0e4ce5a984ef699ddace61bbf430d695b011c6b5author: oheger <oliver.heger@oliver-heger.de>date: tue jun 9 21:51:22 2015 +0200 added documentation for circuitbreaker interface.commit 0e6b22190ef1868655fec9b3814a2345ad206f76author: oheger <oliver.heger@oliver-heger.de>date: mon jun 8 22:27:05 2015 +0200 initial import of circuitbreaker classes.
41,41,"2 0.34489795918367344, 4 0.12902494331065756, 0 0.11632653061224486, 1 0.1036281179138322, 3 0.10204081632653061, 5 0.10204081632653061, 6 0.10204081632653061",": arrayutils.removeall(object array, int... indices) should do the clone, not its callers ()crlf -> lfjavadoc: fix typo but working is still awkward.[] complement arrayutils.addall() variants with by-index and by-value removal methods"
42,42,"6 0.27079747561675277, 5 0.19984700707592276, 3 0.16370242876266972, 2 0.09542933639319182, 0 0.09275196022183975, 1 0.09141327213616371, 4 0.08605851979345958","zz format not displaying z for utc with openjdk 6replace tabs with spaces fastdateparser and fastdateprinter support x formatadded missing support for iso 8601 parsing and printing using ""zz"" pattern (code now matches javadoc). addresses .add final modifier to local variables.applying chas hontons implementation of dateparser and subsequent integration into fastdateformat and the time package. see . "
43,43,"4 0.1725067385444744, 0 0.15363881401617252, 1 0.13477088948787067, 2 0.13477088948787067, 3 0.13477088948787067, 5 0.13477088948787067, 6 0.13477088948787067",moving abbreviate + abbreviatemiddle to charsequences
44,44,"6 0.285458269329237, 5 0.13850486431131587, 0 0.1152073732718894, 1 0.1152073732718894, 2 0.1152073732718894, 3 0.1152073732718894, 4 0.1152073732718894",: fastdateformat support of the week-year component (uppercase y): fastdateformat support of the week-year component (uppercase y)
45,45,"0 0.15659340659340656, 3 0.15659340659340656, 1 0.13736263736263737, 2 0.13736263736263737, 4 0.13736263736263737, 5 0.13736263736263737, 6 0.13736263736263737",[] vastly expanded typeutils
46,46,"0 0.17136978248089355, 2 0.15285126396237503, 4 0.14667842445620224, 1 0.1322751322751323, 3 0.1322751322751323, 5 0.1322751322751323, 6 0.1322751322751323",: new methods for lang3.validatethis from github.
47,47,"2 0.23642439431913106, 1 0.13505987190197713, 3 0.12726260094681147, 0 0.12531328320802004, 4 0.12531328320802004, 5 0.12531328320802004, 6 0.12531328320802004", - add issorted() to arrayutils. patch supplied by james sawle. in github.
48,48,"6 0.20709325396825398, 0 0.16889880952380953, 2 0.14806547619047616, 4 0.12723214285714285, 3 0.12549603174603174, 1 0.11160714285714289, 5 0.11160714285714289",remove redundant casts ()remove redundant casts throughout the codebase to make it cleaner and easier to read.fix raw types
49,49,"5 0.2701014832162373, 6 0.1316679677335415, 0 0.12802498048399685, 1 0.11891751236013533, 2 0.117096018735363, 3 0.117096018735363, 4 0.117096018735363",4fastdateformat apis that use a stringbuilderapplying chas hontons implementation of dateparser and subsequent integration into fastdateformat and the time package. see . 
50,50,"4 0.16326530612244897, 1 0.15136054421768705, 3 0.14937641723356004, 0 0.14342403628117914, 2 0.13548752834467123, 6 0.12953514739229027, 5 0.1275510204081633",sort members.merge branch : add stringutilsremoveignorecasepatch by gokul nanthakumar c
51,51,"2 0.15966386554621845, 0 0.1400560224089636, 1 0.1400560224089636, 3 0.1400560224089636, 4 0.1400560224089636, 5 0.1400560224089636, 6 0.1400560224089636",reuse
52,52,"3 0.20328599275967693, 2 0.16040100250626563, 6 0.1311612364243943, 1 0.1292119186856029, 0 0.12531328320802007, 4 0.12531328320802007, 5 0.12531328320802007",use validateistrue to validate argumentsfixing crlfsstatement unnecessarily nested within else clause.add threadutils
53,53,"0 0.19906323185011707, 3 0.18631277647671088, 4 0.13166796773354147, 2 0.12984647410876918, 1 0.11891751236013534, 5 0.117096018735363, 6 0.117096018735363",add final modifier to local variables.use collection.isempty() instead of size() == 0convert to java 5 enhanced loops. 
54,54,"0 0.2261904761904762, 6 0.17237103174603172, 3 0.14285714285714282, 1 0.12375992063492063, 2 0.11160714285714288, 4 0.11160714285714288, 5 0.11160714285714288"," - tolowercase should use locale, additional unit tests for case-insensitive matching - fastdateparser should be case insensitive: fastdateparser could use calendar.getdisplaynames for all text fields"
55,55,"6 0.24634920634920637, 0 0.18857142857142856, 4 0.13523809523809524, 5 0.12634920634920635, 2 0.11153439153439151, 1 0.09671957671957675, 3 0.09523809523809526",removes unnecessary class reference of static method calls which are declared in the same classmake sure lines in files dont have trailing white spaces and remove all trailing white spacespmd: useless parenthesesreplaced private integer constants with private static enum.
56,56,"2 0.3257418909592823, 1 0.12123303427651254, 3 0.12123303427651254, 4 0.11157119852772027, 6 0.10835058661145619, 5 0.10674028065332414, 0 0.1051299746951921",make whitespace use after tokens consistent and add a checkstyle rule to enforce it.add final modifier to method parameters.: add jsontostringstyle implementation to tostringstyle. this fixes and from github. thanks to thiago andrade.
57,57,"0 0.21108326371484262, 2 0.13700918964076858, 4 0.13311055416318573, 5 0.13311055416318573, 1 0.1331105541631857, 3 0.1272626009468115, 6 0.12531328320802007",[] add empty_array constants to classes inorg.apache.commons.lang3.tuple
58,58,"2 0.25124716553287985, 3 0.20839002267573695, 6 0.1226757369614512, 0 0.10839002267573697, 1 0.1052154195011338, 4 0.10204081632653061, 5 0.10204081632653061",make whitespace use after tokens consistent and add a checkstyle rule to enforce it.: fastdateparser too strict on abbreviated short month symbolsadd final modifier to local variables.format. fastdateparser_timezonestrategytesttesttimezonestrategypattern fails on windows with german localereimplementing 1107
59,59,"2 0.15966386554621845, 0 0.1400560224089636, 1 0.1400560224089636, 3 0.1400560224089636, 4 0.1400560224089636, 5 0.1400560224089636, 6 0.1400560224089636",reuse
60,60,"2 0.31285944329422594, 3 0.16149068322981366, 1 0.1083505866114562, 6 0.10674028065332415, 0 0.10351966873706007, 4 0.10351966873706007, 5 0.10351966873706007",make whitespace use after tokens consistent and add a checkstyle rule to enforce it.crlf -> lfjavadoc: fix typo but working is still awkward.add final modifier to local variables.
61,61,"3 0.30724501021530726, 6 0.22473675939022472, 5 0.17633191890617633, 2 0.07622190790507624, 1 0.07292157787207294, 4 0.07182146786107184, 0 0.07072135785007073","format.: fastdateformat support of the week-year component (uppercase y)revert while investigating travis failures: fastdateformat support of the week-year component (uppercase y)refactor fastdateparseruse hashmap for performance break down regular expressions to per-format, allowingparseposition to get set add parse with calendar input, allowing client to set leniencyand/or replace display names: dateutilstest.testlang530 fails for some timezonesadd final modifier to local variables.trailing spacesapplying chas hontons implementation of dateparser and subsequent integration into fastdateformat and the time package. see . "
62,62,"5 0.2727513227513227, 6 0.12830687830687826, 1 0.12275132275132275, 0 0.11904761904761904, 2 0.11904761904761904, 3 0.11904761904761904, 4 0.11904761904761904",applying chas hontons implementation of dateparser and subsequent integration into fastdateformat and the time package. see . 
63,63,"6 0.26904761904761904, 0 0.1283068783068783, 4 0.12645502645502646, 1 0.11904761904761905, 2 0.11904761904761905, 3 0.11904761904761905, 5 0.11904761904761905"," fastdateparser and fastdateprinter support x formatadded missing support for iso 8601 parsing and printing using ""zz"" pattern (code now matches javadoc). addresses ."
64,64,"2 0.16831386642707397, 6 0.1536388140161725, 1 0.13896376160527107, 0 0.13477088948787064, 3 0.13477088948787064, 4 0.13477088948787064, 5 0.13477088948787064",: recursive and reflective equalsbuilder ()patch by yathos ug
65,65,"5 0.27460317460317457, 6 0.1283068783068783, 1 0.12089947089947091, 0 0.11904761904761905, 2 0.11904761904761905, 3 0.11904761904761905, 4 0.11904761904761905",applying chas hontons implementation of dateparser and subsequent integration into fastdateformat and the time package. see . 
66,66,"6 0.17548500881834211, 0 0.15285126396237503, 5 0.14256319811875368, 1 0.1322751322751323, 2 0.1322751322751323, 3 0.1322751322751323, 4 0.1322751322751323",4fastdateformat apis that use a stringbuilderrefactor some duplicate code.
67,67,"0 0.2157738095238095, 6 0.14632936507936506, 1 0.14285714285714282, 4 0.14285714285714282, 5 0.12723214285714282, 2 0.11334325396825398, 3 0.11160714285714288",convert to java 5 enhanced loops. javadocsimplify code (eliminate conditional check) and avoid npe warningreplace tab characters with spaces
68,68,"2 0.15966386554621845, 0 0.1400560224089636, 1 0.1400560224089636, 3 0.1400560224089636, 4 0.1400560224089636, 5 0.1400560224089636, 6 0.1400560224089636",reuse
69,69,"0 0.28314659197012143, 4 0.13445378151260504, 1 0.12138188608776844, 6 0.11974789915966387, 2 0.11811391223155929, 3 0.11811391223155929, 5 0.10504201680672273",": update java requirement from java 6 to 7replace usage of deprecated objectutilstostring with objectstostring: fix deprecation warningseat own dog food: separator == null ? """" : separator->objectutils.tostring(separator)remove superfluous parens."
70,70,"5 0.29742388758782196, 0 0.117096018735363, 1 0.117096018735363, 2 0.117096018735363, 3 0.117096018735363, 4 0.117096018735363, 6 0.117096018735363",refactoring fastdateformat per to use the formatcache class created for an upcoming dateparser functionality. ive kept formatcache package-private for now. 
71,71,"6 0.2987606001304631, 2 0.1861274190041313, 5 0.1161121983039791, 1 0.10241356816699285, 3 0.10089149815177215, 0 0.09784735812133075, 4 0.09784735812133075",make whitespace use after tokens consistent and add a checkstyle rule to enforce it.: fastdateformat support of the week-year component (uppercase y)revert while investigating travis failures: fastdateformat support of the week-year component (uppercase y)
72,72,"0 0.22407750979179553, 2 0.18367346938775508, 6 0.14471243042671614, 4 0.14182642754071326, 1 0.11873840445269015, 3 0.09420737992166565, 5 0.09276437847866421","revert ""simplify, less clutter.""this reverts commit 18f5f54ca0e78df12586e0750e257058746a5a39.simplify, less clutter.wsrefactoring toboolean(string) and tobooleanobject(string) so that the latter has the same optimizations. i did this by pointing the former to the latter. i had to rewrite the optimizations a bit so they didnt auto-return as the latter considers null and false to be different. i also had to add specific support for false, no and off for the same reason. 633"
73,73,"0 0.1651969429747207, 2 0.15490887713109933, 4 0.15079365079365076, 1 0.1322751322751323, 3 0.1322751322751323, 5 0.1322751322751323, 6 0.1322751322751323",: new methods for lang3.validatethis from github.
74,74,"3 0.22119150690579265, 0 0.18655947227375802, 2 0.16924345495774068, 6 0.12451041022469593, 4 0.10142238713667287, 5 0.09997938569367142, 1 0.09709338280766855","add final modifier to local variables.: add support for varargs in constructorutils, memberutils, and methodutilsthis from github.a bit of dog food and a lot of javadoc tweakageadd final modifier to local variables.review and cleanup javadoc in constructorutilsmove/comment suppresswarnings(unchecked)/refactor surrounding codegenerics"
75,75,"3 0.3814285714285714, 6 0.19253968253968248, 0 0.12809523809523804, 2 0.0825396825396825, 1 0.07253968253968254, 4 0.07142857142857142, 5 0.07142857142857142","make sure lines in files dont have trailing white spaces and remove all trailing white spacesremove unused constructor parameterformat.refactor fastdateparseruse hashmap for performance break down regular expressions to per-format, allowingparseposition to get set add parse with calendar input, allowing client to set leniencyand/or replace display namesrename textstrategy to caseinsensitivetextstrategy per sebbs suggestion[] use the cache in fastdateparser correctly.add final modifier to local variables.tab police fastdateparser could use calendar.getdisplaynames for all text fieldsremove unnecessary keyvalue instances: fastdateparser could use calendar.getdisplaynames for all text fields"
76,76,"2 0.2459132906894101, 0 0.15636105188343993, 3 0.14143567874911156, 6 0.1231935560293769, 1 0.11821843165126747, 4 0.10826818289504858, 5 0.10660980810234542","simplify boolean expression- fix () systemutils.getjavaversionasfloat throws stringindexoutofboundsexception on android runtime/dalvik vm- refactor for unit testing.- remove odd test code which is copy and pasted from systemutils, which therefore does not test anything."
77,77,"3 0.20259740259740255, 2 0.14603174603174604, 1 0.1318903318903319, 0 0.12987012987012986, 4 0.12987012987012986, 5 0.12987012987012986, 6 0.12987012987012986",add final modifier to local variables.
78,78,"3 0.20057720057720052, 2 0.146031746031746, 1 0.1339105339105339, 0 0.12987012987012986, 4 0.12987012987012986, 5 0.12987012987012986, 6 0.12987012987012986",add final modifier to local variables.
79,79,"0 0.21303258145363405, 2 0.13700918964076858, 4 0.13505987190197713, 5 0.13311055416318573, 3 0.1292119186856029, 1 0.1272626009468115, 6 0.12531328320802007",[] add empty_array constants to classes inorg.apache.commons.lang3.tuple
80,80,"5 0.2801587301587301, 6 0.1246031746031746, 0 0.11904761904761905, 1 0.11904761904761905, 2 0.11904761904761905, 3 0.11904761904761905, 4 0.11904761904761905",applying chas hontons implementation of dateparser and subsequent integration into fastdateformat and the time package. see . 
81,81,"4 0.26904761904761904, 6 0.13571428571428568, 0 0.11904761904761905, 1 0.11904761904761905, 2 0.11904761904761905, 3 0.11904761904761905, 5 0.11904761904761905",remove superfluous parens like:return (foo + 1);int len = (foo + 1);if ((foo + 1 > 2))((string) foo)
82,82,"3 0.21198156682027647, 6 0.17793138760880695, 2 0.1313364055299539, 5 0.13133640552995388, 0 0.11699948796722992, 1 0.11520737327188942, 4 0.11520737327188942",add final modifier to local variables.document some @suppresswarning annotationsallow subclass custom invocation handlingadd serialization support to eventlistenersupport
83,83,"2 0.33072407045009783, 0 0.1374211785170689, 1 0.1237225483800826, 3 0.11002391824309632, 4 0.10089149815177215, 6 0.09936942813655145, 5 0.09784735812133075",formatting fixes perhttps://patch-diff.githubusercontent.com/raw/apache/commons-lang/pull/128.diffcrlf -> lfjavadoc: fix typo but working is still awkward. - add issorted() to arrayutils. patch supplied by james sawle. in github.
84,84,"2 0.22638563622170177, 4 0.15534738485558156, 0 0.1498829039812646, 1 0.117096018735363, 3 0.117096018735363, 5 0.117096018735363, 6 0.117096018735363",: fix logic in isjsonarray method of jsontostringstyleextract logic for checking string representation of objects into separate methods
85,85,"4 0.17582417582417575, 0 0.13736263736263737, 1 0.13736263736263737, 2 0.13736263736263737, 3 0.13736263736263737, 5 0.13736263736263737, 6 0.13736263736263737",[] new type util features
86,86,"2 0.3611686220381873, 1 0.11801242236024842, 4 0.10674028065332414, 0 0.10351966873706006, 3 0.10351966873706006, 5 0.10351966873706006, 6 0.10351966873706006",crlf -> lfjavadoc: fix typo but working is still awkward.merge branch : inconsistent behavior of swap for malformed inputs. thanksto adrian ber.consistent treatment for negative indices for swap methodswap and shift for arrays
87,87,"6 0.3452380952380952, 5 0.1279178338001867, 0 0.10667600373482727, 1 0.10504201680672269, 2 0.10504201680672269, 3 0.10504201680672269, 4 0.10504201680672269",: fastdateformat support of the week-year component (uppercase y)revert while investigating travis failures: fastdateformat support of the week-year component (uppercase y)fastdateformat apis that use a stringbuilder
88,88,"2 0.17794486215538843, 4 0.17794486215538843, 6 0.1370091896407686, 3 0.1311612364243943, 0 0.12531328320802007, 1 0.12531328320802007, 5 0.12531328320802007",explicit type parameters can be removedremove redundant type arguments.
89,89,"3 0.20057720057720052, 2 0.144011544011544, 1 0.13593073593073593, 0 0.12987012987012989, 4 0.12987012987012989, 5 0.12987012987012989, 6 0.12987012987012989",add final modifier to local variables.
90,90,"6 0.17633477633477632, 4 0.1662337662337662, 3 0.13795093795093796, 0 0.12987012987012989, 1 0.12987012987012989, 2 0.12987012987012989, 5 0.12987012987012989",remove redundant type arguments.validation
